mse,corr,shrink
7.80394282592273e-05,covariance,shrink basis
0.0201827447116376,correlation,no shrinkage
0.0164683509888525,correlation,shrink std
0.004789532160136,correlation,shrink basis
0.291502569322811,partial correlation,no shrinkage
0.0104436255039743,partial correlation,shrink std
0.00341349043678925,partial correlation,shrink basis
0.000230625825531318,covariance,no shrinkage
0.000162800796805393,covariance,shrink std
5.63329918011034e-05,covariance,shrink basis
0.0136473185246934,correlation,no shrinkage
0.0147786076607294,correlation,shrink std
0.00540497277864203,correlation,shrink basis
0.362038544040365,partial correlation,no shrinkage
0.0116932034995394,partial correlation,shrink std
0.00210891827908345,partial correlation,shrink basis
0.000808035679725474,covariance,no shrinkage
0.000961714850609077,covariance,shrink std
0.000529172622434658,covariance,shrink basis
0.0153303057279061,correlation,no shrinkage
0.0230968873890852,correlation,shrink std
0.00684757573005244,correlation,shrink basis
0.973281800875323,partial correlation,no shrinkage
0.0116931218426146,partial correlation,shrink std
0.00292363412633484,partial correlation,shrink basis
0.00397753246136793,covariance,no shrinkage
0.00462943269322248,covariance,shrink std
0.00337985073827271,covariance,shrink basis
0.0504373605078143,correlation,no shrinkage
0.0712446576401112,correlation,shrink std
0.0354829027675616,correlation,shrink basis
0.624060270591439,partial correlation,no shrinkage
0.0125388902342339,partial correlation,shrink std
0.00253372230499939,partial correlation,shrink basis
0.00070704290703504,covariance,no shrinkage
0.00102419449204264,covariance,shrink std
0.00113973473666908,covariance,shrink basis
0.00629975103235685,correlation,no shrinkage
0.0100802903667288,correlation,shrink std
0.00502209221357691,correlation,shrink basis
0.178308214022624,partial correlation,no shrinkage
0.0136912646773622,partial correlation,shrink std
0.00196593793039227,partial correlation,shrink basis
0.000222575169964268,covariance,no shrinkage
0.000161691188019692,covariance,shrink std
0.000121286861652817,covariance,shrink basis
0.0204585060542121,correlation,no shrinkage
0.0182952758140992,correlation,shrink std
0.00732664486606926,correlation,shrink basis
0.286122771017298,partial correlation,no shrinkage
0.00786606216773548,partial correlation,shrink std
0.00234721129892555,partial correlation,shrink basis
0.000383996332543305,covariance,no shrinkage
0.000427341643499872,covariance,shrink std
0.000100500725950519,covariance,shrink basis
0.0107419116600759,correlation,no shrinkage
0.0130836210887824,correlation,shrink std
0.00317567826192075,correlation,shrink basis
0.294701304462687,partial correlation,no shrinkage
0.0104427484155096,partial correlation,shrink std
0.00342004803659505,partial correlation,shrink basis
0.000350070849450999,covariance,no shrinkage
0.000186969392532309,covariance,shrink std
0.000112425423118796,covariance,shrink basis
0.0135280285837378,correlation,no shrinkage
0.0098426579415723,correlation,shrink std
0.00610507231117614,correlation,shrink basis
0.861882469364698,partial correlation,no shrinkage
0.0140488036815954,partial correlation,shrink std
0.00245525999021804,partial correlation,shrink basis
0.000391710358319281,covariance,no shrinkage
0.000240370916772815,covariance,shrink std
0.000200277290646969,covariance,shrink basis
0.0126352664562557,correlation,no shrinkage
0.0110765574345161,correlation,shrink std
0.00662911155527665,correlation,shrink basis
0.948543593967671,partial correlation,no shrinkage
0.0117632450023283,partial correlation,shrink std
0.00250714235211887,partial correlation,shrink basis
0.000141305664968617,covariance,no shrinkage
0.000143222497008566,covariance,shrink std
7.50518841607255e-05,covariance,shrink basis
0.0223065352067868,correlation,no shrinkage
0.0204416832608993,correlation,shrink std
0.0108076041485343,correlation,shrink basis
0.637260985020459,partial correlation,no shrinkage
0.00424369361121567,partial correlation,shrink std
0.0016767769968833,partial correlation,shrink basis
0.000220036969750212,covariance,no shrinkage
7.49465506054825e-05,covariance,shrink std
0.000106903121701779,covariance,shrink basis
0.02232793902934,correlation,no shrinkage
0.00999938350524334,correlation,shrink std
0.0132607808112576,correlation,shrink basis
